0,1,id,date,price,bedrooms,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,lat,long,yr_renovated_new,yr_built_new,renovated
mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
16.842068,0.28482258,4676087013.4262705,2014-10-27 10:30:50.250536704,634813.5,4.167859699355763,13043.787043664997,2.0007157,0.0,0.0046528274874731565,2.9992841803865424,2824.1045,1.0,47.53677,-122.126015,24.815676449534717,25.46993557623479,0.015032211882605583
0.8908516,7.8611894,4526826082.502059,2014-10-21 07:39:34.468085248,563812.06,3.594371997254633,12755.583733699383,1.1573439,0.0,0.03225806451612903,4.268016472203157,1408.6722,778.636925188744,47.57873,-122.25624,71.36135895676047,71.99931365820179,0.013040494166094716
8.301653,11.485629,4393369062.033114,2014-10-26 00:50:26.600985344,438437.94,3.1510673234811164,16184.016694033935,1.3152709,0.0,0.010946907498631636,4.188286808976464,1629.5602,1.3163656267104542,47.530827,-122.21244,65.93322386425835,66.76299945265463,0.019978106185002738
18.025635,5.2121553,4908143346.30005,2014-10-30 04:08:32.995484160,455802.47,2.8866031108881085,8443.377320622178,1.9907175,0.0,0.005017561465127948,2.9989964877069744,2024.7561,1.039136979427998,47.534725,-122.136116,27.009533366783742,27.635725037631712,0.015554440541896638
15.019461,9.889189,4381423771.560584,2014-11-05 19:26:42.919708160,383734.9,2.89985401459854,21674.041751824818,1.1811678,0.0,0.0072992700729927005,2.961167883211679,1443.8313,1.1515328467153285,47.55365,-122.219154,64.96554744525548,69.17722627737226,0.07416058394160584
10.217995,-6.13478,4426111498.078213,2014-11-11 17:57:59.329608960,481916.56,2.3072625698324023,1263.7094972067039,2.972067,0.0,0.0111731843575419,3.0,1347.1954,83.49720670391062,47.65586,-122.34266,19.256983240223462,19.256983240223462,0.0
12.790297,-7.042036,4430977858.972376,2014-10-20 16:14:35.138121472,518599.47,3.0994475138121547,1772.4613259668508,3.0,0.0,0.0055248618784530384,3.0,1645.9558,1.0,47.669674,-122.337845,17.392265193370164,17.392265193370164,0.0
-6.3362107,6.8414645,4490511599.668712,2014-10-30 22:49:19.509202432,1661876.0,3.3006134969325154,25371.828220858893,1.6411043,1.0,3.766871165644172,3.5337423312883436,2473.043,701.0429447852761,47.537365,-122.2816,51.79141104294479,62.809815950920246,0.25766871165644173
0.7847723,0.38733461,4575615600.670644,2014-11-08 07:03:15.227765760,470402.12,3.477946493130875,13130.34381778742,1.0605568,0.0,0.03470715835140998,2.984815618221258,1326.625,677.9533622559653,47.583527,-122.25085,61.531814895155456,62.82465654374548,0.02964569775849602
7.662488,2.3388853,4774841263.183637,2014-10-28 08:28:48.000000000,891321.56,3.6133333333333333,25574.193333333333,1.5309091,0.0,2.4806060606060605,3.4915151515151517,2197.3892,648.890303030303,47.56576,-122.239136,53.442424242424245,58.10787878787879,0.08303030303030302
5.778224,-2.6380305,4704961759.595035,2014-10-25 12:31:50.318076160,733140.7,3.7075252133436774,12863.017843289372,1.9557797,0.0,0.038789759503491075,3.0287044220325834,2050.761,669.1652443754849,47.596012,-122.234245,22.011636927851047,34.27695888285493,0.16369278510473234
9.392286,-3.189685,4627355374.464865,2014-11-04 08:33:43.783783680,419765.72,1.962162162162162,1253.2324324324325,1.9621621,0.0,0.005405405405405406,3.0108108108108107,1010.41614,246.6054054054054,47.610874,-122.33656,18.410810810810812,18.410810810810812,0.0
16.136387,16.452356,8350981518.196721,2014-11-04 07:28:31.475409920,482339.2,2.0491803278688523,4887.0327868852455,1.0,0.0,0.0,3.0,1542.7867,1.0,47.702583,-122.02343,19.737704918032787,19.737704918032787,0.0
